source_index,s_m,x_m,y_m,w_tr_right_m,w_tr_left_m,segment_length_to_next_m
46,4.2226773547,89637.2796897476,43123.1735720626,3.7616769059,3.7559343450,0.0918885416
47,4.3145658963,89637.3656582839,43123.1411234131,3.7593039997,3.7581084213,0.0918380504
48,4.4064039467,89637.4512978338,43123.1079557331,3.7576816887,3.7594610945,0.0917847855
49,4.4981887322,89637.5365434000,43123.0739316198,3.7569930205,3.7598673117,0.0917476813
50,4.5899364135,89637.6214744909,43123.0392279193,3.7570659415,3.7595381423,0.0917233647
51,4.6816597782,89637.7061858215,43123.0040545474,3.7576783100,3.7587076485,0.0917079399
52,4.7733677181,89637.7907721071,43122.9686214198,3.7586025474,3.7576050699,0.0916992401
53,4.8650669582,89637.8753280628,43122.9331384522,3.7596207358,3.7564701063,0.0916968309
54,4.9567637892,89637.9599484039,43122.8978155604,3.7605395072,3.7540683576,0.0917020117
55,5.0484658008,89638.0447278454,43122.8628626601,3.7611991089,3.7399487952,0.0917178144
56,5.1401836152,89638.1297611025,43122.8284896670,3.7614740571,3.7258801418,0.0917490002
57,5.2319326154,89638.2151428905,43122.7949064969,3.7612660091,3.7122620183,0.0918019272
58,5.3237345426,89638.3009676585,43122.7623227119,3.7604921475,3.6995321446,0.0918675178
59,5.4156020604,89638.3872943342,43122.7309006515,3.7591286292,3.6880876530,0.0919168105
60,5.5075188708,89638.4741109883,43122.7007084570,3.7572560997,3.6782107630,0.0919479061
61,5.5994667770,89638.5613972834,43122.6718030917,3.7549509527,3.6701521109,0.0919629029
62,5.6914296799,89638.6491328817,43122.6442415188,3.7522658468,3.6641364357,0.0919640078
63,5.7833936877,89638.7372974459,43122.6180807017,3.7492236022,3.6603592681,0.0919535397
64,5.8753472274,89638.8258706383,43122.5933776037,3.7458077078,3.6589841070,0.0919339333
65,5.9672811608,89638.9148321215,43122.5701891881,3.7419467564,3.6601363972,0.0919077415
66,6.0591889022,89639.0041615578,43122.5485724181,3.7374921548,3.6638918103,0.0918776373
67,6.1510665395,89639.0938386098,43122.5285842571,3.7321918659,3.6702588789,0.0918464163
68,6.2429129558,89639.1838429398,43122.5102816684,3.7256669608,3.6791595466,0.0918169972
69,6.3347299529,89639.2741542105,43122.4937216153,3.7174012646,3.6904147403,0.0917924217
70,6.4265223746,89639.3647520842,43122.4789610610,3.7067552759,3.7037440827,0.0917785768
71,6.5183009514,89639.4556102834,43122.4659959237,3.6998045657,3.7021729063,0.0917841000
72,6.6100850514,89639.5466697765,43122.4544855050,3.6919098651,3.7009366149,0.0917943899
73,6.7018794413,89639.6378603031,43122.4439737079,3.6821906480,3.7011732183,0.0917942606
74,6.7936737019,89639.7291115926,43122.4340043326,3.6708478171,3.7022631933,0.0917754842
75,6.8854491861,89639.8203533746,43122.4241211792,3.6582427330,3.7036716640,0.0917367849
76,6.9771859710,89639.9115153787,43122.4138680479,3.6449167362,3.7049630515,0.0916838436
77,7.0688698146,89640.0025273344,43122.4027887389,3.6315717171,3.7057869432,0.0916293219
78,7.1604991365,89640.0933189714,43122.3904270523,3.6190166083,3.7058379432,0.0915928101
79,7.2520919465,89640.1838211975,43122.3763348588,3.6080868239,3.7048095943,0.0915916977
80,7.3436836443,89640.2740040351,43122.3603318939,3.5993111512,3.7026057909,0.0916205892
81,7.4353042334,89640.3638847499,43122.3425614272,3.5928036684,3.6993644867,0.0916696699
82,7.5269739033,89640.4534834295,43122.3231860568,3.5885452694,3.6951429724,0.0917301882
83,7.6187040916,89640.5428201622,43122.3023683811,3.5864047668,3.6899148347,0.0917942854
84,7.7104983770,89640.6319150359,43122.2802709984,3.5861605454,3.6836014311,0.0918549998
85,7.8023533767,89640.7207881385,43122.2570565068,3.5875317387,3.6761072809,0.0919062636
86,7.8942596403,89640.8094595580,43122.2328875049,3.5902094436,3.6673504180,0.0919428967
87,7.9862025370,89640.8979493823,43122.2079265907,3.5938820133,3.6572831296,0.0919605969
88,8.0781631340,89640.9862776995,43122.1823363627,3.5989507568,3.6459027313,0.0919559313
89,8.1701190653,89641.0744645976,43122.1562794190,3.6084199601,3.6332546736,0.0919269303
90,8.2620459956,89641.1625305850,43122.1299176592,3.6178273136,3.6194304064,0.0918851265
91,8.3539311221,89641.2505053901,43122.1033976641,3.6269736515,3.6045504344,0.0918425561
92,8.4457736782,89641.3384277151,43122.0768511038,3.6357053117,3.5957508122,0.0917995710
93,8.5375732492,89641.4263366341,43122.0504090311,3.6439005220,3.5947590004,0.0917566012
94,8.6293298504,89641.5142712208,43122.0242024991,3.6514669879,3.5940274690,0.0917146892
95,8.7210445396,89641.6022705491,43121.9983625605,3.6583387198,3.5937312397,0.0916754914
96,8.8127200310,89641.6903736930,43121.9730202682,3.6644707204,3.5940556306,0.0916412792
97,8.9043613102,89641.7786197261,43121.9483066753,3.6698310249,3.5951879079,0.0916149390
98,8.9959762492,89641.8670477226,43121.9243528344,3.6743904110,3.5973080985,0.0915999714
99,9.0875762206,89641.9556967559,43121.9012897979,3.6781110904,3.6005803848,0.0915993041
100,9.1791755247,89642.0445950174,43121.8792096797,3.6809767480,3.6051063503,0.0916101106
101,9.2707856353,89642.1337305522,43121.8580609496,3.6830937535,3.6108134973,0.0916290285
102,9.3624146637,89642.2230821506,43121.8377589612,3.6845738097,3.6175715468,0.0916535567
103,9.4540682204,89642.3126286024,43121.8182190684,3.6855016516,3.6252320402,0.0916814446
104,9.5457496650,89642.4023486978,43121.7993566250,3.6859406478,3.6336357238,0.0917106931
105,9.6374603581,89642.4922212268,43121.7810869846,3.6859402061,3.6426203344,0.0917395540
106,9.7291999121,89642.5822249793,43121.7633255010,3.6855432510,3.6520273504,0.0917665308
107,9.8209664429,89642.6723387456,43121.7459875280,3.6847925571,3.6617069713,0.0917903770
108,9.9127568199,89642.7625413155,43121.7289884194,3.6837353988,3.6658705000,0.0918100964
109,10.0045669164,89642.8528114792,43121.7122435288,3.6824265127,3.6696321420,0.0918249418
110,10.0963918582,89642.9431280266,43121.6956682101,3.6809296421,3.6734838265,0.0918344144
111,10.1882262725,89643.0334697479,43121.6791778170,3.6793179712,3.6773263438,0.0918382637
112,10.2800645362,89643.1238154330,43121.6626877033,3.6776736800,3.6810707083,0.0918364867
113,10.3719010229,89643.2141438720,43121.6461132227,3.6760867821,3.6846369660,0.0918293287
114,10.4637303516,89643.3044338549,43121.6293697289,3.6746534048,3.6879523622,0.0918172951
115,10.5555476467,89643.3946642222,43121.6123727730,3.6734735343,3.6909492515,0.0918025627
116,10.6473502094,89643.4848197334,43121.5950610919,3.6726252342,3.6935863686,0.0917883912
117,10.7391386006,89643.5748965528,43121.5774180941,3.6721406957,3.6958687454,0.0917752468
118,10.8309138474,89643.6648921420,43121.5594322707,3.6720457504,3.6978051159,0.0917632657
119,10.9226771131,89643.7548039630,43121.5410921132,3.6723644187,3.6994016483,0.0917525884
120,11.0144297015,89643.8446294773,43121.5223861126,3.6731187438,3.7006616066,0.0917433605
121,11.1061730620,89643.9343661468,43121.5033027601,3.6743289383,3.7015855141,0.0917357317
122,11.1979087936,89644.0240114333,43121.4838305471,3.6736907170,3.7021715356,0.0917298562
123,11.2896386499,89644.1135627984,43121.4639579648,3.6701669680,3.7024157641,0.0917258931
124,11.3813645430,89644.2030177040,43121.4436735043,3.6671318548,3.7023121230,0.0917240055
125,11.4730885485,89644.2923736117,43121.4229656569,3.6646050120,3.7018516517,0.0917243612
126,11.5648129097,89644.3816279834,43121.4018229138,3.6626039171,3.7010210617,0.0917271324
127,11.6565400421,89644.4707782807,43121.3802337663,3.6611426295,3.6998006621,0.0917324953
128,11.7482725374,89644.5598219655,43121.3581867055,3.6602300732,3.6981620679,0.0917406308
129,11.8400131682,89644.6487564996,43121.3356702227,3.6598684597,3.6960664878,0.0917517238
130,11.9317648920,89644.7375793446,43121.3126728091,3.6600527750,3.6934647132,0.0917659634
131,12.0235308555,89644.8262879626,43121.2891829577,3.6607723603,3.6902999710,0.0917818882
132,12.1153127436,89644.9148885495,43121.2652277703,3.6619757076,3.6865539263,0.0917925760
133,12.2071053196,89645.0034186146,43121.2409727793,3.6634750853,3.6823586940,0.0917948492
134,12.2989001688,89645.0919226826,43121.2166145307,3.6650645929,3.6778976497,0.0917880073
135,12.3906881761,89645.1804452785,43121.1923495702,3.6665580520,3.6733827695,0.0917726746
136,12.4824608507,89645.2690309270,43121.1683744438,3.6677895544,3.6690579615,0.0917508012
137,12.5742116520,89645.3577241528,43121.1448856973,3.6686053306,3.6651931218,0.0917256659
138,12.6659373179,89645.4465694809,43121.1220798765,3.6688463728,3.6620678973,0.0917018787
139,12.7576391966,89645.5356114361,43121.1001535273,3.6683256798,3.6599484104,0.0916853833
140,12.8493245799,89645.6248945430,43121.0793031956,3.6668088574,3.6590649805,0.0916834555
141,12.9410080354,89645.7144633266,43121.0597254272,3.6640091875,3.6617894574,0.0917038816
142,13.0327119170,89645.8043541979,43121.0415806443,3.6596421151,3.6694663772,0.0917362124
143,13.1244481294,89645.8944945081,43121.0245437096,3.6574017117,3.6778943543,0.0917534902
144,13.2162016196,89645.9847335503,43121.0079419556,3.6567403495,3.6862857196,0.0917453848
145,13.3079470044,89646.0749189227,43120.9910951685,3.6565743142,3.6939466859,0.0917176089
146,13.3996646133,89646.1648982236,43120.9733231345,3.6576551575,3.7002915219,0.0916918334
147,13.4913564467,89646.2545246492,43120.9539712316,3.6607123490,3.7048373029,0.0916941461
148,13.5830505928,89646.3437541485,43120.9328545820,3.6659612584,3.7076010522,0.0917203909
149,13.6747709837,89646.4326327671,43120.9102001949,3.6731299883,3.7089811496,0.0917579096
150,13.7665288933,89646.5212096040,43120.8862490374,3.6818558638,3.7093123261,0.0917959927
151,13.8583248860,89646.6095337580,43120.8612420767,3.6888638844,3.7088450511,0.0918259226
152,13.9501508086,89646.6976543282,43120.8354202801,3.6907064640,3.7077663174,0.0918409674
153,14.0419917760,89646.7856204133,43120.8090246147,3.6932276605,3.7062340202,0.0918363694
154,14.1338281454,89646.8734811125,43120.7822960479,3.6960941523,3.7044101556,0.0918093353
155,14.2256374807,89646.9612855245,43120.7554755468,3.6990033717,3.7024827938,0.0917590308
156,14.3173965115,89647.0490827484,43120.7288040786,3.7016899989,3.7006736672,0.0916865810
157,14.4090830925,89647.1369218830,43120.7025226106,3.7039205431,3.6992341543,0.0915950805
158,14.5006781729,89647.2248520273,43120.6768721039,3.7054821858,3.6984359001,0.0915131332
159,14.5921913061,89647.3129221025,43120.6520061554,3.7062572637,3.6984788986,0.0915253024
160,14.6837166086,89647.4011804049,43120.6277707878,3.7064330704,3.6992786585,0.0916461015
161,14.7753627100,89647.4896750930,43120.6039443719,3.7214712649,3.7007064021,0.0918725140
162,14.8672352240,89647.5784543255,43120.5803052789,3.7453829863,3.7026741773,0.0922026602
163,14.9594378843,89647.6675661996,43120.5566324162,3.7668621055,3.7051653956,0.0925602454
164,15.0519981296,89647.7570352320,43120.5329113018,3.7854932940,3.7074715257,0.0927567868
165,15.1447549164,89647.8468268063,43120.5096455613,3.8004642609,3.6973267983,0.0927723308
166,15.2375272471,89647.9368971859,43120.4874187290,3.8112090296,3.6888173253,0.0926262107
167,15.3301534578,89648.0272026343,43120.4668143391,3.8176272392,3.6831661336,0.0923480857
168,15.4225015435,89648.1176994151,43120.4484159260,3.8201295662,3.6817651995,0.0919784803
169,15.5144800238,89648.2083437917,43120.4328070240,3.8195549085,3.6860517425,0.0915694191
170,15.6060494429,89648.2990920276,43120.4205711675,3.8169510874,3.6973064429,0.0911850012
171,15.6972344441,89648.3899003864,43120.4122918907,3.8132597031,3.7164125859,0.0909016812
172,15.7881361253,89648.4807251314,43120.4085527279,3.8089945760,3.7436526532,0.0908112733
173,15.8789473986,89648.5715266417,43120.4098843021,3.8040777053,3.7785830290,0.0910093692
174,15.9699567677,89648.6623388829,43120.4158711308,3.7987055259,3.8352046171,0.0914061151
175,16.0613628829,89648.7532593161,43120.4252813760,3.7933743416,3.9009788869,0.0918603548
176,16.1532232377,89648.8443874855,43120.4368564150,3.7883713660,3.9647589902,0.0922833793
177,16.2455066170,89648.9358229353,43120.4493376253,3.7840317833,4.0239676070,0.0926396793
178,16.3381462962,89649.0276652098,43120.4614663842,3.7809162339,4.0770663033,0.0929432020
179,16.4310894982,89649.1199975559,43120.4721048356,3.7797300165,4.1236749714,0.0932064518
180,16.5242959500,89649.2127654103,43120.4811363288,3.7803556249,4.1652220503,0.0934075418
181,16.6177034918,89649.3058449267,43120.4889576121,3.7822733459,4.1933610079,0.0935300036
182,16.7112334954,89649.3991117350,43120.4959693196,3.7850094513,4.1793996017,0.0935629999
183,16.8047964953,89649.4924414646,43120.5025720858,3.7881260885,4.1643267888,0.0935011179
184,16.8982976132,89649.5857097452,43120.5091665450,3.7912522494,4.1481885009,0.0933443075
185,16.9916419208,89649.6787922063,43120.5161533313,3.7941357495,4.1312694938,0.0930978989
186,17.0847398197,89649.7715644776,43120.5239330793,3.7966907578,4.1141395508,0.0927726994
187,17.1775125192,89649.8639021885,43120.5329064231,3.7990214045,4.0976687176,0.0923851618
188,17.2698976810,89649.9556809688,43120.5434739970,3.8014061572,4.0830053118,0.0919576053
189,17.3618552863,89650.0467764479,43120.5560364354,3.8042270140,4.0715070952,0.0915184576
190,17.4533737439,89650.1370642555,43120.5709943726,3.8078269074,4.0646111662,0.0911024690
191,17.5444762129,89650.2264200211,43120.5887484428,3.8122892713,4.0242836906,0.0907508313
192,17.6352270442,89650.3147193744,43120.6096992804,3.8171677108,3.9392276795,0.0905111119
193,17.7257381562,89650.4018379449,43120.6342475197,3.8212492460,3.8640143067,0.0904368975
194,17.8161750536,89650.4876513622,43120.6627937950,3.8224856386,3.8004187540,0.0905870352
195,17.9067620889,89650.5720352559,43120.6957387406,3.8182221621,3.7609938605,0.0910217797
196,17.9977838686,89650.6548754237,43120.7334544003,3.8057787907,3.7519076547,0.0916246368
197,18.0894085054,89650.7364898041,43120.7750977309,3.7844364712,3.7496824215,0.0920030952
198,18.1814116006,89650.8177800061,43120.8181845338,3.7564826947,3.7507920502,0.0920173429
199,18.2734289435,89650.8996889736,43120.8601143850,3.7329020703,3.7517323819,0.0917850306
200,18.3652139741,89650.9831596507,43120.8982868609,3.7207515225,3.7491025261,0.0916712622
201,18.4568852364,89651.0691009546,43120.9301884692,3.7155168370,3.7396429809,0.0919490651
202,18.5488343015,89651.1573098487,43120.9561465427,3.7176616257,3.7232644205,0.0920561630
203,18.6408904645,89651.2462501836,43120.9798942575,3.7239287481,3.6948903279,0.0916669174
204,18.7325573818,89651.3343070946,43121.0053658922,3.7307419814,3.6649698765,0.0910482728
205,18.8236056547,89651.4198854928,43121.0364484555,3.7343176463,3.6403059697,0.0909228331
206,18.9145284878,89651.5023114556,43121.0748271246,3.7327322311,3.6239247083,0.0913378215
207,19.0058663093,89651.5822041576,43121.1190962312,3.7267029060,3.6152981948,0.0919249651
208,19.0977912744,89651.6602796283,43121.1676185980,3.7165638687,3.6130878672,0.0924130896
209,19.1902043640,89651.7372538974,43121.2187570477,3.7024163520,3.6153696383,0.0926396702
210,19.2828440341,89651.8138429943,43121.2708744030,3.6846749385,3.6198736944,0.0925457544
211,19.3753897885,89651.8907629486,43121.3223334866,3.6644800237,3.6248345933,0.0921823780
212,19.4675721665,89651.9687013931,43121.3715593912,3.6437324784,3.6281460709,0.0918328448
213,19.5594050113,89652.0477203312,43121.4183491209,3.6253323639,3.6287873723,0.0916386177
214,19.6510436290,89652.1272710431,43121.4638389053,3.6269143676,3.6280014466,0.0915482660
215,19.7425918950,89652.2067794422,43121.5092206139,3.6285790592,3.6271568993,0.0915441133
216,19.8341360083,89652.2858342636,43121.5553796855,3.6294024804,3.6273057185,0.0915938660
217,19.9257298743,89652.3645502105,43121.6022116831,3.6296325214,3.6265238657,0.0916817539
218,20.0174116283,89652.4431479938,43121.6494126626,3.6298435714,3.6235324841,0.0918031505
219,20.1092147788,89652.5218483244,43121.6966786801,3.6307553113,3.6208149371,0.0919580165
220,20.2011727952,89652.6008719131,43121.7437057916,3.6332310088,3.6184667216,0.0921143450
221,20.2932871402,89652.6802859566,43121.7903797914,3.6379419254,3.6169429691,0.0919802575
222,20.3852673977,89652.7588764140,43121.8381700391,3.6433732997,3.6186558440,0.0915471436
223,20.4768145414,89652.8347921150,43121.8893333644,3.6465311174,3.6265565453,0.0912272027
224,20.5680417440,89652.9063020304,43121.9459790570,3.6438809682,3.6428514849,0.0914300105
225,20.6594717545,89652.9734775710,43122.0080023878,3.6340081203,3.6662376618,0.0918577698
226,20.7513295244,89653.0377454151,43122.0736338902,3.6172936049,3.6928379387,0.0921579580
227,20.8434874823,89653.1005652901,43122.1410635018,3.5944411954,3.7188043483,0.0921572289
228,20.9356447112,89653.1633969233,43122.2084811604,3.5670085213,3.7409540492,0.0918568426
229,21.0275015538,89653.2277000423,43122.2740768037,3.5376785299,3.7571306353,0.0914439072
230,21.1189454610,89653.2948283385,43122.3361717311,3.5318065030,3.7663255062,0.0912431465
231,21.2101886075,89653.3650576917,43122.3944224799,3.5483557833,3.7697918535,0.0912873178
232,21.3014759253,89653.4380357203,43122.4492639035,3.5723606355,3.7697232954,0.0914947823
233,21.3929707076,89653.5134022119,43122.5011405565,3.6028019180,3.7677844798,0.0917932677
234,21.4847639753,89653.5907969542,43122.5504969933,3.6380699608,3.7649022054,0.0921216315
235,21.5768856068,89653.6698597349,43122.5977777686,3.6761152714,3.7613487525,0.0924301175
236,21.6693157243,89653.7502303415,43122.6434274368,3.7175848789,3.7569936510,0.0926802114
237,21.7619959357,89653.8315485616,43122.6878905526,3.7679454547,3.7515927104,0.0928443157
238,21.8548402515,89653.9134541831,43122.7316116703,3.8130452585,3.7450255689,0.0929054036
239,21.9477456551,89653.9955869934,43122.7750353447,3.8512302769,3.7374498794,0.0928567627
240,22.0406024178,89654.0775867802,43122.8186061301,3.8814635446,3.7293790966,0.0927018875
241,22.1333043053,89654.1590933312,43122.8627685812,3.9033596779,3.7217037917,0.0924545450
242,22.2257588503,89654.2397464340,43122.9079672525,3.9171785728,3.7156717458,0.0921390019
243,22.3178978521,89654.3191858763,43122.9546466986,3.9237712000,3.7128316609,0.0917903648
244,22.4096882169,89654.3970514456,43123.0032514738,3.9244637014,3.7149388269,0.0914549405
245,22.5011431574,89654.4729829297,43123.0542261329,3.9208723752,3.7238228728,0.0911904722
246,22.5923336296,89654.5466201161,43123.1080152304,3.9146606453,3.7412281184,0.0910660472
247,22.6833996768,89654.6176027925,43123.1650633207,3.9072743005,3.7686517085,0.0911510492
248,22.7745507261,89654.6856041267,43123.2257620219,3.8997690437,3.8071517350,0.0913957102
249,22.8659464363,89654.7506101170,43123.2900068432,3.8931626194,3.8567468832,0.0917040375
250,22.9576504739,89654.8127778045,43123.3574220427,3.8881428895,3.9063722235,0.0920210598
251,23.0496715337,89654.8722659700,43123.4276291194,3.8848491939,3.9649202545,0.0922985242
252,23.1419700579,89654.9292333942,43123.5002495722,3.8830293952,4.0312431641,0.0924941870
253,23.2344642449,89654.9838388579,43123.5749049000,3.8822199712,4.1039894956,0.0925714599
254,23.3270357048,89655.0362411418,43123.6512166018,3.8819029740,4.1818527947,0.0925055751
255,23.4195412799,89655.0865976932,43123.7288149210,3.8816089853,4.2636550084,0.0923932534
256,23.5119345333,89655.1350416440,43123.8074895478,3.8808593344,4.3294441618,0.0923280785
257,23.6042626118,89655.1816848913,43123.8871694171,3.8791948325,4.3631788785,0.0923050204
258,23.6965676322,89655.2266386187,43123.9677881443,3.8762656313,4.3997644044,0.0923159809
259,23.7888836131,89655.2700140097,43124.0492793450,3.8718105656,4.4386985273,0.0923533666
260,23.8812369797,89655.3119222477,43124.1315766348,3.8656320018,4.4795334274,0.0924101126
261,23.9736470923,89655.3524745161,43124.2146136291,3.8575759032,4.5218522176,0.0924797000
262,24.0661267923,89655.3917819985,43124.2983239436,3.8475191484,4.5652538653,0.0925561655
263,24.1586829578,89655.4299558782,43124.3826411938,3.8353634110,4.6093458379,0.0926341053
264,24.2513170631,89655.4671073388,43124.4674989951,3.8210336318,4.6325973096,0.0927086764
265,24.3440257395,89655.5033475637,43124.5528309632,3.8044789384,4.6401233864,0.0927755929
266,24.4368013324,89655.5387877364,43124.6385707136,3.7856742918,4.6486596598,0.0928311219
267,24.5296324543,89655.5735390403,43124.7246518617,3.7646219897,4.6579052112,0.0928720779
268,24.6225045321,89655.6077126589,43124.8110080233,3.7413525615,4.6675852460,0.0928958162
269,24.7154003483,89655.6414197757,43124.8975728137,3.7159249226,4.6774505681,0.0929002279
270,24.8083005762,89655.6747715741,43124.9842798485,3.6884259189,4.6872773799,0.0928837349
271,24.9011843112,89655.7078792376,43125.0710627433,3.6589694336,4.6968673011,0.0928452862
272,24.9940295974,89655.7408539497,43125.1578551136,3.6276952094,4.7060475674,0.0927843563
273,25.0868139537,89655.7738068937,43125.2445905750,3.5947675104,4.7146713951,0.0927009447
274,25.1795148985,89655.8068492533,43125.3312027429,3.5603736830,4.7226184923,0.0925955780
275,25.2721104765,89655.8400922117,43125.4176252329,3.5247226660,4.7131987111,0.0924693133
276,25.3645797898,89655.8736469526,43125.5037916606,3.4890479242,4.7042688700,0.0923237435
277,25.4569035333,89655.9076246594,43125.5896356415,3.4560074734,4.6959425419,0.0921610048
278,25.5490645381,89655.9421365155,43125.6750907911,3.4225958172,4.6882210307,0.0919837849
279,25.6410483230,89655.9772937043,43125.7600907250,3.3890848967,4.6811343176,0.0917953326
280,25.7328436555,89656.0132074095,43125.8445690587,3.3557646693,4.6747395381,0.0915994673
281,25.8244431228,89656.0499888143,43125.9284594077,3.3229444586,4.6691168334,0.0914005892
282,25.9158437120,89656.0877491023,43126.0116953876,3.3040602620,4.6643599094,0.0912036876
283,26.0070473996,89656.1265994570,43126.0942106140,3.2979571514,4.6605569595,0.0910143476
284,26.0980617472,89656.1666510618,43126.1759387023,3.2939480051,4.6577555243,0.0908387531
285,26.1889005002,89656.2080151001,43126.2568132680,3.2923554823,4.6559033482,0.0906836861
286,26.2795841863,89656.2508027555,43126.3367679269,3.2934696684,4.6547580392,0.0905565190
287,26.3701407053,89656.2951252113,43126.4157362943,3.2975025701,4.6537645275,0.0904652002
288,26.4606059055,89656.3410936512,43126.4936519858,3.3045270468,4.6519128951,0.0904182290
289,26.5510241345,89656.3888192584,43126.5704486169,3.3176394585,4.6476103055,0.0904246215
290,26.6414487561,89656.4384132165,43126.6460598032,3.3632470934,4.6386264012,0.0904938622
291,26.7319426183,89656.4899867089,43126.7204191603,3.4081990638,4.6221855273,0.0906361558
292,26.8225787741,89656.5436495988,43126.7934616616,3.4504315415,4.5952658375,0.0909167850
293,26.9134955591,89656.5992347808,43126.8654071225,3.4875211024,4.5554626500,0.0914265373
294,27.0049220965,89656.6559586469,43126.9371093870,3.5167082605,4.5020582411,0.0921414886
295,27.0970635850,89656.7129543965,43127.0095078569,3.5361250565,4.4359180441,0.0930672646
296,27.1901308497,89656.7693533696,43127.0835394148,3.5453658150,4.3597692165,0.0938673804
297,27.2839982301,89656.8240520131,43127.1598227256,3.5455878432,4.2070748053,0.0938726142
298,27.3778708442,89656.8754851447,43127.2383510687,3.5392969829,4.0385405242,0.0931571729
299,27.4710280171,89656.9220337777,43127.3190448332,3.5301346965,3.8754333763,0.0919569023
300,27.5629849194,89656.9620789257,43127.4018244079,3.5220036426,3.7279070677,0.0905962734
301,27.6535811928,89656.9940016022,43127.4866101820,3.5178354006,3.6041498596,0.0895079417
