center_x,center_y,w_tr_left_m,w_tr_right_m
89613.2176301,43158.7461137,3.74493817530209,3.6913667154127454
89612.9566564,43159.710543,3.977196238640968,3.539300568687431
89612.8015565,43160.6979895,4.0923045998755265,3.3376684011726843
89612.7732727,43161.6960471,4.12086673648068,3.3987809335243666
89612.8919634,43162.6886755,4.24095666733179,3.3950182486232086
89613.1735487,43163.6455399,4.237416844370986,3.520070410762379
89613.6295207,43164.5343533,4.18905036365987,3.534954332001367
89614.2503839,43165.31502,4.245518989872357,3.492071545491732
89615.019323,43165.9500221,4.222264486888628,3.4779377649308416
89615.9024135,43166.4157107,4.244261495257218,3.50030096373652
89616.8600952,43166.6964364,4.305152039217691,3.460780869253246
89617.8542784,43166.7848647,4.297137742427207,3.4147180022418606
89618.8453485,43166.6799385,4.356202031732685,3.521924247884885
89619.803909,43166.3975164,4.450939544090044,3.5215365714705076
89620.7041482,43165.9637166,4.248740343916594,3.5446546096450033
89621.5332941,43165.4063695,4.149856034059061,3.7203733690525196
89622.290548,43164.7537513,3.838862186959763,3.871073485936617
89622.9800015,43164.0303764,3.6557976238132883,4.068964360148849
89623.6120552,43163.2560394,3.523906244090436,4.174660244388074
89624.1989863,43162.4469931,3.4675494240993725,4.243127189281233
89624.7544152,43161.6158462,3.454007919835205,4.284999619365829
89625.2893279,43160.771325,3.463518991502779,4.2993779040953335
89625.808228,43159.9169147,3.441331244629223,4.279742617398659
89626.3143999,43159.0548508,3.434208772250415,4.244840309126782
89626.8094655,43158.1863528,3.4393196872264364,4.182169789591988
89627.2948048,43157.3123676,3.4756755346451307,4.099512958541161
89627.7716702,43156.4337672,3.54324336138808,4.023118644481101
89628.2413373,43155.5512687,3.6191376609291757,3.9456783922582
89628.7049596,43154.6655952,3.6797245658279603,3.860672768138184
89629.1637175,43153.7773926,3.6832372413939027,3.7625639927422605
89629.6188916,43152.8873355,3.676932153859029,3.688445567862927
89630.0717865,43151.996139,3.6703252535210518,3.614965492279588
89630.523759,43151.1044464,3.6600157276653844,3.5394577222372323
89630.9761304,43150.2129859,3.649702496261809,3.4584895707074472
89631.4302709,43149.3223967,3.6684197049933407,3.375900583280785
89631.8875006,43148.4334186,3.678137563143502,3.3119813434018135
89632.3491686,43147.5467186,3.6817867210980224,3.237205469098739
89632.8165864,43146.6630237,3.674242282388621,3.143703406600151
89633.2910522,43145.7831068,3.65582723102022,3.0532720172590158
89633.7738731,43144.9077479,3.6751438257972326,2.9666573416142534
89634.2662398,43144.037766,3.6829194548927053,2.9731646515321275
89634.769309,43143.1738055,3.7058087386350804,3.0011408291122113
89635.2842644,43142.3169178,3.7581188557263134,2.950302533450202
89635.8127773,43141.4682301,3.7953039680207654,2.9166425597519634
89636.3596262,43140.6309072,3.759419612124758,2.9027643977629314
89636.9359066,43139.8146871,3.684062850141884,2.9529831699348996
89637.5557443,43139.0294885,3.573059324786261,3.0730205203106484
89638.2312246,43138.2942031,3.443646063588603,3.23746151119549
89638.9756566,43137.6271007,3.3069876264870306,3.496556944508262
89639.7936408,43137.0544217,3.2900171264483125,3.877601665467111
89640.6858473,43136.6039464,3.280309131878432,4.094815339832009
89641.6389004,43136.3085086,3.1561157380118394,4.150201845051309
89642.6304936,43136.2007085,3.425544485397115,4.17665651884992
89643.6245111,43136.293934,3.4265877458174057,4.11156446460121
89644.5774592,43136.5925564,3.323108758554237,4.160769799535304
89645.4435452,43137.0876528,3.2674917126914913,4.103784730269766
89646.1775971,43137.7611384,3.217221575900861,4.196970239734725
89646.7525011,43138.5777756,3.122067243485568,4.201976128232795
89647.1555013,43139.4912764,3.0566593774153725,4.096873644948923
89647.386545,43140.4623438,3.0992270069661063,4.02255296302396
89647.4587521,43141.4580342,2.9711619368489766,3.9859113964676576
89647.3884927,43142.4541592,3.169983467394246,3.7734730920132877
89647.194425,43143.4347331,3.355182928075796,3.466469178471808
89646.8963087,43144.388139,3.471745245655619,3.164771576119534
89646.5138526,43145.3123981,3.5769582671379196,2.9005699850182602
89646.0664941,43146.2060996,3.65481941127243,2.841453572611739
89645.5709704,43147.0744921,3.6905630092980712,2.8417313663694945
89645.043532,43147.9237377,3.6963350613547883,2.845802769178956
89644.4995214,43148.762328,3.683763054889889,2.872256364559269
89643.9516298,43149.5985718,3.6672203915919956,2.903699045093071
89643.4055532,43150.4358676,3.6545543252690047,2.951652134633399
89642.8645465,43151.2764887,3.646715999890055,3.0036723336248885
89642.3288408,43152.1205423,3.6449923369902386,2.9796093300125346
89641.7977726,43152.967534,3.6537708660566803,2.9110786215616247
89641.2707663,43153.8170209,3.663815561228838,2.844574940163578
89640.7472398,43154.6686869,3.671631239127647,2.809995482183531
89640.2268233,43155.5222169,3.6714074746471987,2.7846181145173516
89639.7091631,43156.377416,3.674161899413269,2.7747270763896767
89639.1937365,43157.2339852,3.6812011669271145,2.7621267120149255
89638.6799217,43158.0915095,3.698981360408607,2.7147205318104524
89638.166904,43158.9495262,3.7170831996426825,2.6638523095819435
89637.6537419,43159.8074628,3.7350698797279183,2.6258664733756225
89637.1394418,43160.6647079,3.751490603899475,2.58905742224896
89636.6229326,43161.5206371,3.7703442437193946,2.554652702873881
89636.1028727,43162.374392,3.7886424083164796,2.5242368511749853
89635.5774535,43163.224891,3.800649780909373,2.4987104227562753
89635.0443529,43164.0705739,3.80355357037683,2.4791937803630657
89634.5002062,43164.9092145,3.7939413585218853,2.472615491977767
89633.9416751,43165.738441,3.7685722274166458,2.4830228251573163
89633.3659123,43166.5555246,3.7240075377465995,2.5156398798613955
89632.7696757,43167.3582929,3.6631880041266514,2.5745023954853172
89632.1508442,43168.1429703,3.5880499671928474,2.6004816450145793
89631.5060354,43168.9073958,3.4771310696806683,2.5655602604478336
89630.8340241,43169.6469726,3.3476866013816613,2.680446569644907
89630.1320283,43170.358887,3.1601867591840076,2.8802539976589108
89629.3990253,43171.0382095,2.9460314004204333,3.232590176579777
89628.6337056,43171.6806606,2.7015279353721393,3.7399276364041967
89627.8360403,43172.2831801,2.371483026457671,4.070544822458902
89627.0090293,43172.8432233,2.0258445335732413,4.207091952081451
89626.1602612,43173.3719819,1.8889751114918505,3.9526173638472804
89625.3022216,43173.8872293,1.8691067594251516,3.3769511255166877
89624.4474716,43174.4061073,2.189564676098885,2.7688999260690266
89623.6050664,43174.9475476,2.684935564058796,2.511033217608789
89622.7898036,43175.526975,3.124547188056122,2.366671478326505
89622.0175394,43176.1594335,3.457089157860105,2.448488516463012
89621.3051393,43176.8600244,4.016400938122574,2.522521019619625
89620.678339,43177.6344186,4.4527376833357035,2.564985571222794
89620.1631745,43178.488535,4.5507483350167846,2.616115667159774
89619.796891,43179.4163221,4.464249782170056,2.8072292142347477
89619.6025712,43180.3939679,4.448963091206112,3.515116571875562
89619.5797263,43181.3964297,4.513469643859111,3.7150554718785718
89619.7235506,43182.3838327,4.541995257019,3.8104805524138126
89620.0167586,43183.3402649,4.499341990291602,3.8773071470335467
89620.4416306,43184.2451977,4.1503077605289755,4.117618457270202
89620.9811982,43185.0849835,3.7180392609387853,4.314381493820823
89621.6230386,43185.8529456,3.437055773808189,4.484079555235013
89622.3492616,43186.5371989,3.2771615149054334,4.573401313031512
89623.1512766,43187.1360699,3.267256988714093,4.607210071947337
89624.0120357,43187.6408652,3.362548716882341,4.59139038161596
89624.9248304,43188.0500843,3.5850527563142602,4.520066444674901
89625.8746524,43188.3570003,3.839947463823224,4.355425922445962
89626.8537707,43188.5578123,4.107900237225856,4.0973242145979185
89627.8483748,43188.6464646,4.332801491989855,3.7373531502934205
89628.8459664,43188.6175957,4.362347414835159,3.3876731411568715
89629.8335307,43188.4677812,4.4269691786147725,3.0975278236330555
89630.7924422,43188.1970529,4.449518690589292,2.9989280283712554
89631.7128219,43187.808395,4.412407898985737,2.847889545065684
89632.5795774,43187.3111326,4.283934998431481,2.980955764624804
89633.3880096,43186.722472,4.142917682808218,3.0560263580988067
89634.1430182,43186.0625588,3.9276434164107554,3.3574263694659185
89634.8511355,43185.3559908,3.701957756355161,3.6120565175031345
89635.5328245,43184.6248201,3.5306882079400808,3.9240545854861075
89636.2116375,43183.8892664,3.3748637835689657,4.231463024817119
89636.9078728,43183.1753679,3.2000866140641993,4.48515629577394
89637.6480945,43182.5032302,3.002767298027149,4.552933375470951
89638.4461941,43181.9044058,2.890476228536793,4.565787626769206
89639.3116503,43181.4075424,2.779445581935061,4.361000344787302
89640.2414338,43181.0404893,2.8365379146740235,4.1740673292490875
89641.2141391,43180.8264438,2.8367463159675244,3.9089484352383796
89642.2139256,43180.7592211,2.889885303168961,3.78617686503533
89643.209876,43180.829862,2.9228878883897433,3.7155653148075802
89644.1913094,43181.0204927,2.9312433112036613,3.7111649255139505
89645.1477065,43181.3122135,2.9375440420584695,3.7716949494387695
89646.0739646,43181.6868461,3.0488818297886486,3.914343855680883
89646.9711338,43182.1279314,3.0945432213311053,4.1386684795372535
89647.8414618,43182.6190843,3.226704949927921,4.241225988043746
89648.6911225,43183.145403,3.2866650785433236,4.3604893804645
89649.5270727,43183.6934416,3.3168510489906264,4.421243540718036
89650.3568647,43184.2507065,3.3144558264233304,4.407085203606767
89651.1886515,43184.805208,3.2989498544199227,4.352547023774628
89652.0302838,43185.3448686,3.2994354957347394,4.277528681982716
89652.8888081,43185.8568989,3.3406528417640984,4.158959111697606
89653.7706821,43186.3278682,3.438296523975865,3.9863237531080493
89654.6799872,43186.7431597,3.618460323466312,3.767625363219623
89655.6183671,43187.0869732,3.8982396575059384,3.5430394493898585
89656.5849406,43187.3420798,4.344589372475593,3.310577132586937
89657.572896,43187.4885364,4.977992447032729,3.190993863951181
89658.572849,43187.5063062,5.592899293808825,3.0943793370181445
89659.5614877,43187.375179,5.770344091339302,3.2333838398760313
89660.5160697,43187.0770895,5.640681530612506,3.392967877187019
89661.3943089,43186.606761,4.833921503713728,3.424158899642734
89662.1572447,43185.9638782,4.301226861176094,3.4353656194299624
89662.760338,43185.1693255,4.1533751635289,3.3997216694098804
89663.1634411,43184.2610208,4.438193774207759,3.4101272999177037
89663.3662997,43183.2805962,5.07394849676813,3.396043151710583
89663.374532,43182.2820423,5.85429742246973,3.362720903426843
89663.207509,43181.2971346,5.995350256268434,3.2000836053259825
89662.8886712,43180.3501276,5.72771588574863,3.0172042315409837
89662.4397367,43179.4578278,5.117465115605767,2.9115904525232614
89661.8805014,43178.6297125,4.842625231644554,3.140155554772153
89661.2290247,43177.8721755,4.509210488728819,3.195566970852076
89660.5011263,43177.1875856,4.15672784359095,3.1634708061469214
89659.7105029,43176.5763965,3.9702232173044854,3.1954778193402222
89658.8691461,43176.0373333,3.8976729312425955,3.664080370160555
89657.9868198,43175.5678433,3.9316315315663495,3.6351728939202657
89657.0723104,43175.1650091,3.9551265194963703,3.5006214453906632
89656.1328092,43174.8240661,4.047623041049269,3.3118497268951406
89655.1750621,43174.538276,4.110599885132346,3.008905063029148
89654.2051767,43174.2982363,3.9495184178963085,2.873466978312864
89653.2270775,43174.0892523,3.8791444807456035,2.697637636215154
89652.2472017,43173.8941213,3.7836770279781375,2.626551232437263
89651.268273,43173.6880732,3.6567991194502687,2.7063581629669797
89650.2987711,43173.4458542,3.552101301418454,2.876108749793474
89649.347208,43173.139705,3.4178729863020743,3.1317106438835944
89648.428593,43172.7434704,3.279450805159013,3.652303080142674
89647.5688866,43172.236435,3.1614510691433866,4.113883432288867
89646.7952156,43171.5988066,3.1089991841541136,4.4797856982242195
89646.1502529,43170.8391754,2.960976668804369,4.600296229004428
89645.669094,43169.9663193,2.827670770579706,4.671104758029225
89645.3731477,43169.0140732,2.776585409407442,4.701187521034057
89645.2642856,43168.0239372,3.0148198927103027,4.719141003779179
89645.3326658,43167.0272765,3.0552339857597337,4.680438035832698
89645.561818,43166.055734,3.04585831924342,4.589532571339462
89645.9318797,43165.1275676,3.3888947840919825,4.393004949525698
89646.420639,43164.2558316,3.7152893783008762,4.270811842608684
89647.0088459,43163.4482828,4.187364615736664,3.884008249384551
89647.6803566,43162.7078419,4.4429437195606845,3.4092591046524894
89648.4200482,43162.0362955,4.638687731377954,2.958524815227321
89649.2165446,43161.4316385,4.784044429610593,2.6462661445371856
89650.0583348,43160.8937798,4.894490589512263,2.447048965760675
89650.9397434,43160.4210137,4.965453194220793,2.3694776958595876
89651.8530222,43160.0162718,4.985898135829037,2.3892846100604026
89652.7969908,43159.6859,4.9898125322031825,2.5073736179265427
89653.7651343,43159.4387518,4.99829201357562,2.6875076901132515
89654.7524189,43159.2824323,4.909611010155561,2.9357263431566185
89655.7505748,43159.225469,4.7441496015289175,3.289186789269921
89656.7480484,43159.2761621,4.503490196184446,3.6987909462576694
89657.7359127,43159.4432202,4.16110691282564,4.0718993801906755
89658.6906451,43159.7324951,3.7380631345544795,4.389654018597954
89659.6008089,43160.1537228,3.1173229526395434,4.622409843037027
89660.4360545,43160.6978184,2.7371239332107464,4.855055165955947
89661.1831339,43161.3563398,2.308525859238568,4.969921208594606
89661.840756,43162.1069743,2.1653035219989105,4.984060752544266
89662.4213965,43162.915598,2.4441197679042155,5.008463088024404
89662.9499264,43163.7650646,4.058032684341707,4.758177526485865
89663.4455285,43164.6339935,5.279389402747515,4.5167122367166
89663.9320903,43165.5080685,5.279389402747515,4.067963772594888
89664.435171,43166.3761147,5.279389402747515,3.5488357872549896
89664.9755485,43167.2182346,5.808171867311747,2.726731332789215
89665.5765892,43168.016519,5.27479398916001,2.1536421863673176
89666.257222,43168.7490412,4.800761789305238,2.0915752142629995
89667.0235784,43169.3856053,4.6611113078067135,2.169179621979133
89667.8814241,43169.8966139,4.608880875713327,2.1544428769049464
89668.8166349,43170.2375936,4.787034228277371,2.362863327328838
89669.8017936,43170.3839003,4.682006979208901,2.4960326520363694
89670.8036698,43170.3464981,4.524815687526264,2.6501728013727104
89671.7802084,43170.1411902,4.428643989302893,2.975750298319601
89672.7167492,43169.7912453,4.411196588080848,3.3315189782248535
89673.5978954,43169.320694,3.952079276900271,3.66708701605115
89674.4184447,43168.750255,3.347145448069322,4.218460246860461
89675.1763426,43168.0989299,2.969402066607489,4.501740509914014
89675.8736706,43167.3829872,2.7483652484028056,4.6591396940911025
89676.5148424,43166.6165131,2.518474621699001,4.7137552229167
89677.1044512,43165.8093337,2.539290692715009,4.7024830302245775
89677.6463914,43164.9695577,2.5166279492708714,4.7054585219124
89678.140144,43164.1004221,2.4722074384645634,4.679388159779976
89678.5817696,43163.203814,2.7854524379599357,4.5875153973406455
89678.9671211,43162.2815041,3.3036008069626286,4.442808003506308
89679.2914802,43161.3359164,3.9698104083651438,4.307944846940304
89679.5499478,43160.3703902,4.652150449238054,4.074246451542377
89679.7376002,43159.3885148,4.353389841758328,3.7224333522607878
89679.8492675,43158.3951899,3.8932444224819105,3.3057313958098
89679.8796884,43157.3962177,3.7434099184755505,2.9184137941776305
89679.8235243,43156.3979348,3.6047165873799987,2.5506730854781052
89679.6755867,43155.4100843,3.58623436011704,2.4185538164905234
89679.4312152,43154.4400309,3.6579204672417887,2.5860046315354794
89679.0899204,43153.5022819,3.9373871216725256,2.622355096073103
89678.65106,43152.6037331,3.9639829160832893,2.785342785448123
89678.123447,43151.7561356,3.989877044329343,3.1389638574979792
89677.5139953,43150.963958,3.9145886547018165,3.2956300773537244
89676.8314665,43150.2342827,4.001078161825396,3.619319818667205
89676.083458,43149.5720304,3.7770015557612053,3.70201652960752
89675.2769507,43148.9816239,3.618308913397539,3.698448044302204
89674.4199567,43148.468136,3.717863578710979,3.634321137101198
89673.5188454,43148.0356101,3.8807544960678184,3.51608880940556
89672.5819731,43147.6888281,4.208698035265045,3.507530992530187
89671.616645,43147.4293908,4.518129497798836,3.415133641443365
89670.6324911,43147.2577213,4.5076472872997995,3.2432118168053474
89669.6369211,43147.1669527,4.23833118694284,3.1410005851819798
89668.6375376,43147.1455319,4.105307327270004,2.9729188196061656
89667.6383508,43147.1759163,3.9756206722570187,2.9409153963504595
89666.6402941,43147.2354862,3.8644958369621727,3.120906613139174
89665.6429101,43147.3003286,3.7772837348860886,3.2665927012378106
89664.6442693,43147.3452611,3.6815850913340022,3.5030533330988476
89663.6449867,43147.3450895,3.554733818337236,3.760441196948865
89662.6475063,43147.2746388,3.4031152471687385,4.033989430361076
89661.6617129,43147.1097125,3.252959784636798,4.119533910400405
89660.7033602,43146.8268516,3.0522627763780545,3.8341764566169996
89659.7937789,43146.4078439,3.0020086043479646,3.65548815229315
89658.9681549,43145.8516787,2.8754138679614902,3.68598799539671
89658.2484454,43145.1572951,2.8611418393857844,3.738592160599246
89657.6518398,43144.3583048,2.819579619802737,3.723084303282522
89657.1761603,43143.4794891,2.8546796933376917,3.6316532522133604
89656.8172495,43142.5475985,2.9352249113843554,3.5259689099277938
89656.5641461,43141.5821097,2.9489328375750956,3.270325918271003
89656.4037517,43140.5949277,2.9160789692489115,3.021458738222966
89656.3229307,43139.5997692,2.8929126242134737,2.8263880661934797
89656.3074236,43138.5995692,2.8299942554517963,2.764981585954084
89656.3432974,43137.6012432,2.8004389405885903,2.7400710333598868
89656.4167123,43136.6037515,2.7598726295848333,2.7588944078997497
89656.5138516,43135.6088631,2.7189605380913875,2.801215088655136
89656.6212114,43134.6147314,2.751025187629467,2.8492187310731034
89656.7252914,43133.6201556,2.8415055288792193,2.901166271746291
89656.8126228,43132.6242516,2.992719672614562,2.917973099993538
89656.8697597,43131.6258749,3.157899570194452,2.9348052499236843
89656.8831565,43130.6262677,3.350550819804873,2.925159962791538
89656.8392434,43129.6276348,3.5090694334690937,2.949132190704804
89656.7252408,43128.6343859,3.6452731359783113,2.902821891259774
89656.5298176,43127.654812,4.03839148264613,2.988745171222461
89656.2436239,43126.6970902,4.378447600244602,2.9776583736091244
89655.8622071,43125.7739753,4.837946051454712,3.2495398662907222
89655.3826097,43124.8971849,4.846802855953931,3.355735467705606
89654.8063919,43124.0813364,4.5749105640703185,3.367353163442404
89654.1377271,43123.3394688,4.23077088492135,3.3722350699352033
89653.3867735,43122.6797532,3.9943851166148208,3.356762981044694
89652.5663777,43122.1100578,3.948115547742412,3.269385755685343
89651.687309,43121.6343824,4.019574517387256,3.2701377540066363
89650.7621791,43121.2569987,4.203228133034296,3.3051279915449103
89649.8021492,43120.9792901,4.533243437030125,3.3721802454530834
89648.8190207,43120.8014492,4.387709885779386,3.4343384342772776
89647.8230748,43120.7168485,3.9898953064195237,3.6832966347291016
89646.8236239,43120.7156295,3.7351831085440503,3.831458615464074
89645.8266197,43120.786491,3.4763950731152646,3.9433987556306787
89644.8356603,43120.9173489,3.3335837021129473,4.036720791771644
89643.8525151,43121.0978431,3.2884833501526147,4.0876601849620195
89642.8776009,43121.319185,3.2898356352117006,4.066471538204996
89641.9119802,43121.5776312,3.275644112095307,4.013863454077887
89640.9574843,43121.8745653,3.35857654410642,3.9242903844697676
89640.0167,43122.2124253,3.615772689918434,3.830282906615535
89639.0931243,43122.5947502,3.77549413070398,3.7020545633898028
89638.1908412,43123.0249289,3.9755044227115754,3.5699385257121112
89637.3147038,43123.5060177,4.12465799460946,3.4775512437284894
89636.4698029,43124.0401883,4.205547476534276,3.336859128797259
89635.6613842,43124.627807,4.187930829449583,3.4075436071098233
89634.8934312,43125.2674326,4.116450364858343,3.4454085718694225
89634.1659455,43125.9530519,3.968614707366009,3.571525314167449
89633.4776462,43126.6778239,3.7749495081374707,3.724607150898007
